step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
125,0.attn.c_attn.weight,24576,8192,3.0,8192,57,5.0008337574419375e-08,6.6998468339443205e-09
250,0.attn.c_attn.weight,24576,8192,3.0,8192,89,1.864447249551084e-08,2.4978856742382045e-09
375,0.attn.c_attn.weight,24576,8192,3.0,8192,120,1.087559147070437e-08,1.457052975893021e-09
500,0.attn.c_attn.weight,24576,8192,3.0,8192,125,7.650205250122645e-09,1.0249331593513489e-09
625,0.attn.c_attn.weight,24576,8192,3.0,8192,141,5.791946158093663e-09,7.759736478328704e-10
750,0.attn.c_attn.weight,24576,8192,3.0,8192,154,5.405655955378881e-09,7.242205739021301e-10
125,0.attn.c_proj.weight,8192,8192,1.0,8192,184,6.372442245483398e-09,1.5931105613708495e-09
250,0.attn.c_proj.weight,8192,8192,1.0,8192,283,3.0579996109008792e-09,7.644999027252198e-10
375,0.attn.c_proj.weight,8192,8192,1.0,8192,299,2.1917653083801274e-09,5.479413270950319e-10
500,0.attn.c_proj.weight,8192,8192,1.0,8192,313,1.5806031227111818e-09,3.9515078067779545e-10
625,0.attn.c_proj.weight,8192,8192,1.0,8192,335,1.2561112642288208e-09,3.140278160572052e-10
750,0.attn.c_proj.weight,8192,8192,1.0,8192,343,1.2240737676620486e-09,3.0601844191551215e-10
125,0.mlp.c_fc.weight,32768,8192,4.0,8192,79,5.785948634147645e-09,6.428831815719606e-10
250,0.mlp.c_fc.weight,32768,8192,4.0,8192,90,3.629352003335953e-09,4.032613337039948e-10
375,0.mlp.c_fc.weight,32768,8192,4.0,8192,80,3.6522915959358215e-09,4.058101773262024e-10
500,0.mlp.c_fc.weight,32768,8192,4.0,8192,78,3.442870080471039e-09,3.8254112005233766e-10
625,0.mlp.c_fc.weight,32768,8192,4.0,8192,82,3.3508327603340143e-09,3.7231475114822383e-10
750,0.mlp.c_fc.weight,32768,8192,4.0,8192,81,3.6322098970413207e-09,4.035788774490356e-10
125,0.mlp.c_proj.weight,8192,32768,0.25,8192,244,4.979358427226544e-10,2.213048189878464e-10
250,0.mlp.c_proj.weight,8192,32768,0.25,8192,348,2.262493595480919e-10,1.0055527091026307e-10
375,0.mlp.c_proj.weight,8192,32768,0.25,8192,413,2.1340643987059595e-10,9.484730660915375e-11
500,0.mlp.c_proj.weight,8192,32768,0.25,8192,465,1.800882909446955e-10,8.003924041986467e-11
625,0.mlp.c_proj.weight,8192,32768,0.25,8192,501,1.7039864324033262e-10,7.573273032903672e-11
750,0.mlp.c_proj.weight,8192,32768,0.25,8192,456,1.9468110054731373e-10,8.652493357658388e-11
125,1.attn.c_attn.weight,24576,8192,3.0,8192,58,3.6877301327351728e-09,4.940621554851533e-10
250,1.attn.c_attn.weight,24576,8192,3.0,8192,107,1.600543580536795e-09,2.1443217992782593e-10
375,1.attn.c_attn.weight,24576,8192,3.0,8192,116,1.0164140767734017e-09,1.3617366552352907e-10
500,1.attn.c_attn.weight,24576,8192,3.0,8192,112,8.010826116343257e-10,1.0732471942901614e-10
625,1.attn.c_attn.weight,24576,8192,3.0,8192,108,6.970594579034899e-10,9.338825941085815e-11
750,1.attn.c_attn.weight,24576,8192,3.0,8192,94,8.417393526633118e-10,1.127716898918152e-10
125,1.attn.c_proj.weight,8192,8192,1.0,8192,67,1.1309432983398438e-09,2.8273582458496095e-10
250,1.attn.c_proj.weight,8192,8192,1.0,8192,161,2.6253998279571534e-10,6.563499569892884e-11
375,1.attn.c_proj.weight,8192,8192,1.0,8192,177,3.2148182392120363e-10,8.037045598030091e-11
500,1.attn.c_proj.weight,8192,8192,1.0,8192,193,3.3114731311798106e-10,8.278682827949527e-11
625,1.attn.c_proj.weight,8192,8192,1.0,8192,206,3.2135605812072763e-10,8.033901453018191e-11
750,1.attn.c_proj.weight,8192,8192,1.0,8192,205,3.817331790924072e-10,9.54332947731018e-11
125,1.mlp.c_fc.weight,32768,8192,4.0,8192,108,1.6327920556068423e-09,1.8142133951187137e-10
250,1.mlp.c_fc.weight,32768,8192,4.0,8192,75,1.816369146108627e-09,2.0181879401206967e-10
375,1.mlp.c_fc.weight,32768,8192,4.0,8192,45,2.6595497131347653e-09,2.955055236816406e-10
500,1.mlp.c_fc.weight,32768,8192,4.0,8192,56,1.948438435792923e-09,2.16493159532547e-10
625,1.mlp.c_fc.weight,32768,8192,4.0,8192,62,1.6572175920009615e-09,1.8413528800010683e-10
750,1.mlp.c_fc.weight,32768,8192,4.0,8192,66,1.7428806424140932e-09,1.9365340471267702e-10
125,1.mlp.c_proj.weight,8192,32768,0.25,8192,271,1.6134870238602162e-10,7.171053439378738e-11
250,1.mlp.c_proj.weight,8192,32768,0.25,8192,401,7.032961584627629e-11,3.1257607042789464e-11
375,1.mlp.c_proj.weight,8192,32768,0.25,8192,520,6.115201860666274e-11,2.7178674936294554e-11
500,1.mlp.c_proj.weight,8192,32768,0.25,8192,613,4.754500463604927e-11,2.1131113171577456e-11
625,1.mlp.c_proj.weight,8192,32768,0.25,8192,669,4.035408608615399e-11,1.7935149371623995e-11
750,1.mlp.c_proj.weight,8192,32768,0.25,8192,694,4.1306689381599425e-11,1.8358528614044188e-11
125,2.attn.c_attn.weight,24576,8192,3.0,8192,74,2.842290364866864e-10,3.807947039604187e-11
250,2.attn.c_attn.weight,24576,8192,3.0,8192,117,5.136136263973673e-10,6.881117820739747e-11
375,2.attn.c_attn.weight,24576,8192,3.0,8192,146,1.109694125465145e-09,1.4867082238197328e-10
500,2.attn.c_attn.weight,24576,8192,3.0,8192,156,1.3408738672065633e-09,1.7964303493499755e-10
625,2.attn.c_attn.weight,24576,8192,3.0,8192,145,1.325409312649825e-09,1.7757117748260502e-10
750,2.attn.c_attn.weight,24576,8192,3.0,8192,128,1.5461596004155138e-09,2.0714610815048215e-10
125,2.attn.c_proj.weight,8192,8192,1.0,8192,122,9.014368057250975e-11,2.2535920143127437e-11
250,2.attn.c_proj.weight,8192,8192,1.0,8192,146,8.549988269805907e-11,2.137497067451477e-11
375,2.attn.c_proj.weight,8192,8192,1.0,8192,199,1.708883047103882e-10,4.272207617759705e-11
500,2.attn.c_proj.weight,8192,8192,1.0,8192,219,1.7356276512145998e-10,4.3390691280364994e-11
625,2.attn.c_proj.weight,8192,8192,1.0,8192,211,1.843303442001343e-10,4.6082586050033574e-11
750,2.attn.c_proj.weight,8192,8192,1.0,8192,207,2.2960841655731197e-10,5.740210413932799e-11
125,2.mlp.c_fc.weight,32768,8192,4.0,8192,120,8.619372546672821e-10,9.577080607414246e-11
250,2.mlp.c_fc.weight,32768,8192,4.0,8192,80,1.098406165838242e-09,1.2204512953758244e-10
375,2.mlp.c_fc.weight,32768,8192,4.0,8192,61,1.7434157431125642e-09,1.9371286034584046e-10
500,2.mlp.c_fc.weight,32768,8192,4.0,8192,76,1.241451054811478e-09,1.3793900609016424e-10
625,2.mlp.c_fc.weight,32768,8192,4.0,8192,79,1.1749738454818726e-09,1.3055264949798584e-10
750,2.mlp.c_fc.weight,32768,8192,4.0,8192,76,1.3253854215145112e-09,1.472650468349457e-10
125,2.mlp.c_proj.weight,8192,32768,0.25,8192,267,1.0918820276856424e-10,4.8528090119361886e-11
250,2.mlp.c_proj.weight,8192,32768,0.25,8192,405,5.5424999445676795e-11,2.4633333086967464e-11
375,2.mlp.c_proj.weight,8192,32768,0.25,8192,532,4.618126899003983e-11,2.0525008440017702e-11
500,2.mlp.c_proj.weight,8192,32768,0.25,8192,646,3.437913022935391e-11,1.5279613435268404e-11
625,2.mlp.c_proj.weight,8192,32768,0.25,8192,655,3.1451331451535224e-11,1.3978369534015654e-11
750,2.mlp.c_proj.weight,8192,32768,0.25,8192,697,3.344597294926644e-11,1.486487686634064e-11
125,3.attn.c_attn.weight,24576,8192,3.0,8192,64,1.9571937577637666e-10,2.622142434120178e-11
250,3.attn.c_attn.weight,24576,8192,3.0,8192,124,5.804824759734376e-10,7.77699053287506e-11
375,3.attn.c_attn.weight,24576,8192,3.0,8192,165,1.3924650181785371e-09,1.865549385547638e-10
500,3.attn.c_attn.weight,24576,8192,3.0,8192,173,8.580703404766454e-10,1.1495962738990782e-10
625,3.attn.c_attn.weight,24576,8192,3.0,8192,169,8.523812440613897e-10,1.1419743299484253e-10
750,3.attn.c_attn.weight,24576,8192,3.0,8192,163,9.943339317028912e-10,1.3321548700332642e-10
125,3.attn.c_proj.weight,8192,8192,1.0,8192,102,7.035315036773681e-11,1.7588287591934202e-11
250,3.attn.c_proj.weight,8192,8192,1.0,8192,144,5.127966403961181e-11,1.2819916009902952e-11
375,3.attn.c_proj.weight,8192,8192,1.0,8192,211,6.099581718444823e-11,1.5248954296112057e-11
500,3.attn.c_proj.weight,8192,8192,1.0,8192,244,7.296323776245118e-11,1.8240809440612796e-11
625,3.attn.c_proj.weight,8192,8192,1.0,8192,232,9.09024477005005e-11,2.2725611925125125e-11
750,3.attn.c_proj.weight,8192,8192,1.0,8192,227,1.112931966781616e-10,2.78232991695404e-11
125,3.mlp.c_fc.weight,32768,8192,4.0,8192,117,6.602337956428529e-10,7.335931062698365e-11
250,3.mlp.c_fc.weight,32768,8192,4.0,8192,98,7.128909230232238e-10,7.921010255813598e-11
375,3.mlp.c_fc.weight,32768,8192,4.0,8192,76,1.066108345985413e-09,1.184564828872681e-10
500,3.mlp.c_fc.weight,32768,8192,4.0,8192,86,8.985172212123872e-10,9.983524680137635e-11
625,3.mlp.c_fc.weight,32768,8192,4.0,8192,102,8.615684509277344e-10,9.572982788085939e-11
750,3.mlp.c_fc.weight,32768,8192,4.0,8192,96,9.77557897567749e-10,1.0861754417419435e-10
125,3.mlp.c_proj.weight,8192,32768,0.25,8192,262,9.52319148927927e-11,4.232529550790787e-11
250,3.mlp.c_proj.weight,8192,32768,0.25,8192,347,5.483114160597325e-11,2.4369396269321444e-11
375,3.mlp.c_proj.weight,8192,32768,0.25,8192,488,4.1337367147207273e-11,1.8372163176536565e-11
500,3.mlp.c_proj.weight,8192,32768,0.25,8192,592,3.232422284781933e-11,1.4366321265697481e-11
625,3.mlp.c_proj.weight,8192,32768,0.25,8192,720,3.0174767598509786e-11,1.3411007821559906e-11
750,3.mlp.c_proj.weight,8192,32768,0.25,8192,651,3.1700609251856806e-11,1.4089159667491915e-11
125,4.attn.c_attn.weight,24576,8192,3.0,8192,62,1.3752486890657809e-10,1.8424838781356807e-11
250,4.attn.c_attn.weight,24576,8192,3.0,8192,125,2.5165826436071296e-10,3.3715814352035514e-11
375,4.attn.c_attn.weight,24576,8192,3.0,8192,191,6.643585539533553e-10,8.9007169008255e-11
500,4.attn.c_attn.weight,24576,8192,3.0,8192,202,8.34926896056578e-10,1.1185899376869201e-10
625,4.attn.c_attn.weight,24576,8192,3.0,8192,194,8.762732245298376e-10,1.1739835143089292e-10
750,4.attn.c_attn.weight,24576,8192,3.0,8192,193,8.622245487094861e-10,1.1551618576049802e-10
125,4.attn.c_proj.weight,8192,8192,1.0,8192,98,4.422366619110107e-11,1.1055916547775267e-11
250,4.attn.c_proj.weight,8192,8192,1.0,8192,163,4.0026903152465806e-11,1.0006725788116452e-11
375,4.attn.c_proj.weight,8192,8192,1.0,8192,273,5.908071994781494e-11,1.4770179986953735e-11
500,4.attn.c_proj.weight,8192,8192,1.0,8192,275,7.032811641693116e-11,1.758202910423279e-11
625,4.attn.c_proj.weight,8192,8192,1.0,8192,253,8.475422859191896e-11,2.118855714797974e-11
750,4.attn.c_proj.weight,8192,8192,1.0,8192,275,9.338557720184326e-11,2.3346394300460815e-11
125,4.mlp.c_fc.weight,32768,8192,4.0,8192,119,6.273847818374634e-10,6.97094202041626e-11
250,4.mlp.c_fc.weight,32768,8192,4.0,8192,116,6.342016160488127e-10,7.046684622764586e-11
375,4.mlp.c_fc.weight,32768,8192,4.0,8192,98,8.215458691120148e-10,9.128287434577942e-11
500,4.mlp.c_fc.weight,32768,8192,4.0,8192,107,8.371885120868685e-10,9.302094578742983e-11
625,4.mlp.c_fc.weight,32768,8192,4.0,8192,97,9.634239971637722e-10,1.070471107959747e-10
750,4.mlp.c_fc.weight,32768,8192,4.0,8192,107,9.812875092029572e-10,1.0903194546699525e-10
125,4.mlp.c_proj.weight,8192,32768,0.25,8192,239,9.256060235202315e-11,4.1138045489788067e-11
250,4.mlp.c_proj.weight,8192,32768,0.25,8192,290,6.481633521616458e-11,2.8807260096073148e-11
375,4.mlp.c_proj.weight,8192,32768,0.25,8192,310,7.597801275551319e-11,3.376800566911697e-11
500,4.mlp.c_proj.weight,8192,32768,0.25,8192,337,7.431311532855033e-11,3.302805125713348e-11
625,4.mlp.c_proj.weight,8192,32768,0.25,8192,316,7.807843387126922e-11,3.4701526165008544e-11
